MeSH term	Name	MeSH first level term	MeSH second level term	Nominal P value	False discovery rate	Tissue-specific expression Z score gene 1	Tissue-specific expression Z score gene 2	Tissue-specific expression Z score gene 3	Tissue-specific expression Z score gene 4	Tissue-specific expression Z score gene 5	Tissue-specific expression Z score gene 6	Tissue-specific expression Z score gene 7	Tissue-specific expression Z score gene 8	Tissue-specific expression Z score gene 9	Tissue-specific expression Z score gene 10
A11.872.580	Mesenchymal Stem Cells	Cells	Stem Cells	1.33e-03	<0.20	LOX (2.6)	COL8A1 (2.3)	CDH11 (2.3)	ADAMTS6 (2.2)	HMGA2 (2.2)	BNC2 (2.1)	THBS2 (2.1)	SLC39A13 (2.0)	C2orf63 (2.0)	WNT5A (1.9)
A05.360.444.492	Penis	Urogenital System	Genitalia	1.36e-03	<0.20	TWIST2 (2.6)	FAM83B (2.6)	SREK1IP1 (2.5)	ANKFN1 (2.2)	WNT5A (2.2)	RNU6-64 (2.0)	ENSG00000226491 (1.8)	KCTD9 (1.6)	HMGA2 (1.6)	ADAMTS6 (1.5)
A10.615.284	Extraembryonic Membranes	Tissues	Membranes	1.54e-03	<0.20	HMGA2 (3.7)	GATA4 (3.5)	ENSG00000254560 (3.5)	ADAMTS6 (2.6)	SEMA3A (2.6)	LOX (2.5)	HAND2 (2.4)	WBSCR28 (2.4)	TGFB2 (2.2)	SLC39A13 (2.2)
A10.615.284.473	Chorion	Tissues	Membranes	1.54e-03	<0.20	HMGA2 (3.7)	GATA4 (3.5)	ENSG00000254560 (3.5)	ADAMTS6 (2.6)	SEMA3A (2.6)	LOX (2.5)	HAND2 (2.4)	WBSCR28 (2.4)	TGFB2 (2.2)	SLC39A13 (2.2)
A05.360.444.492.362	Foreskin	Urogenital System	Genitalia	1.83e-03	<0.20	TWIST2 (2.7)	FAM83B (2.7)	SREK1IP1 (2.6)	ANKFN1 (2.3)	WNT5A (2.2)	RNU6-64 (2.1)	ENSG00000226491 (2.0)	KCTD9 (1.7)	HMGA2 (1.7)	ADAMTS6 (1.5)
A11.329.171	Chondrocytes	Cells	Connective Tissue Cells	3.24e-03	<0.20	WBSCR28 (4.7)	COL8A1 (4.5)	ELN (3.4)	LOX (2.6)	SLC39A13 (2.6)	ADAMTSL3 (2.3)	TSSK1B (2.3)	GPX7 (2.3)	CDH11 (2.3)	GNRH1 (2.2)
A10.615.789	Serous Membrane	Tissues	Membranes	3.29e-03	<0.20	WT1 (2.5)	HP (1.9)	EBF2 (1.8)	ENSG00000237887 (1.6)	ADAMTS16 (1.5)	THBS2 (1.4)	WT1-AS (1.4)	BNC2 (1.3)	IFT140 (1.2)	BMP5 (1.2)
A02.165	Cartilage	Musculoskeletal System	Cartilage	3.66e-03	<0.20	BMP5 (7.1)	ENSG00000228536 (5.3)	BMP2 (4.1)	TGFB2 (3.9)	ELN (3.1)	LTBP4 (3.1)	AGXT (2.9)	DHX38 (2.8)	SMAD3 (2.8)	ADAMTSL3 (2.6)
A11.329.228	Fibroblasts	Cells	Connective Tissue Cells	4.10e-03	<0.20	TWIST2 (4.1)	LOX (2.8)	COL8A1 (2.2)	WNT5A (2.1)	HMGA2 (2.1)	CDH11 (2.0)	ADAMTS6 (2.0)	SLC39A13 (1.9)	SEMA3A (1.8)	ZNF23 (1.7)
A07.231.114	Arteries	Cardiovascular System	Blood Vessels	4.88e-03	<0.20	LTBP1 (2.3)	BMP2 (2.1)	SPSB1 (2.0)	EFEMP1 (1.9)	LINC00312 (1.9)	ENSG00000177133 (1.8)	SLC39A13 (1.7)	ENSG00000229619 (1.7)	C6orf195 (1.7)	COL8A1 (1.6)
