MeSH term	Name	MeSH first level term	MeSH second level term	Nominal P value	False discovery rate	Tissue-specific expression Z score gene 1	Tissue-specific expression Z score gene 2	Tissue-specific expression Z score gene 3	Tissue-specific expression Z score gene 4	Tissue-specific expression Z score gene 5	Tissue-specific expression Z score gene 6	Tissue-specific expression Z score gene 7	Tissue-specific expression Z score gene 8	Tissue-specific expression Z score gene 9	Tissue-specific expression Z score gene 10
A11.872.580	Mesenchymal Stem Cells	Cells	Stem Cells	5.71e-06	<0.01	GDF5 (2.9)	SMURF2 (2.5)	COL8A1 (2.3)	ADAMTS6 (2.2)	CASC2 (2.2)	ANAPC13 (2.1)	THBS2 (2.1)	LTBP1 (1.9)	CALD1 (1.9)	MSRB3 (1.8)
A10.615.284	Extraembryonic Membranes	Tissues	Membranes	5.62e-05	<0.01	ENSG00000254560 (3.5)	ADAMTS6 (2.6)	HAND2 (2.4)	WBSCR28 (2.4)	SMURF2 (2.3)	TGFB2 (2.2)	SLC22A3 (1.8)	FIP1L1 (1.8)	ARF4 (1.8)	MIA3 (1.7)
A10.615.284.473	Chorion	Tissues	Membranes	5.62e-05	<0.01	ENSG00000254560 (3.5)	ADAMTS6 (2.6)	HAND2 (2.4)	WBSCR28 (2.4)	SMURF2 (2.3)	TGFB2 (2.2)	SLC22A3 (1.8)	FIP1L1 (1.8)	ARF4 (1.8)	MIA3 (1.7)
A02.835.583	Joints	Musculoskeletal System	Skeleton	6.78e-05	<0.01	ADCY3 (2.4)	EBF2 (2.3)	SPSB1 (2.2)	FBLN2 (2.0)	SMURF2 (2.0)	MIA3 (1.9)	FIP1L1 (1.8)	THBS2 (1.8)	VCAN (1.7)	EFEMP1 (1.7)
A02.835.583.443	Joint Capsule	Musculoskeletal System	Skeleton	6.78e-05	<0.01	ADCY3 (2.4)	EBF2 (2.3)	SPSB1 (2.2)	FBLN2 (2.0)	SMURF2 (2.0)	MIA3 (1.9)	FIP1L1 (1.8)	THBS2 (1.8)	VCAN (1.7)	EFEMP1 (1.7)
A02.835.583.443.800	Synovial Membrane	Musculoskeletal System	Skeleton	6.78e-05	<0.01	ADCY3 (2.4)	EBF2 (2.3)	SPSB1 (2.2)	FBLN2 (2.0)	SMURF2 (2.0)	MIA3 (1.9)	FIP1L1 (1.8)	THBS2 (1.8)	VCAN (1.7)	EFEMP1 (1.7)
A11.329.830	Stromal Cells	Cells	Connective Tissue Cells	7.11e-05	<0.01	TWIST2 (3.8)	ADAMTS6 (3.3)	SMURF2 (3.3)	LIMK1 (2.9)	COL8A1 (2.4)	FIP1L1 (2.2)	MSRB3 (2.0)	TBC1D23 (1.8)	SMARCAL1 (1.8)	CALD1 (1.8)
A11.329.114	Adipocytes	Cells	Connective Tissue Cells	1.40e-04	<0.01	ENSG00000228536 (4.4)	CDKN2C (3.8)	SLC22A3 (2.9)	DMRT2 (2.7)	ENSG00000238018 (2.7)	TWIST2 (2.6)	EBF2 (2.0)	SPTBN1 (1.9)	FBLN2 (1.9)	CALB2 (1.9)
A11.329.228	Fibroblasts	Cells	Connective Tissue Cells	3.65e-04	<0.01	TWIST2 (4.1)	SMURF2 (2.4)	COL8A1 (2.2)	SMARCAL1 (2.0)	ADAMTS6 (2.0)	ANAPC13 (1.9)	FIP1L1 (1.9)	CALD1 (1.7)	MSRB3 (1.7)	ARF4 (1.6)
A10.690.467	Muscle  Smooth	Tissues	Muscles	3.76e-04	<0.01	ELN (4.1)	GDF5 (2.3)	MSRB3 (2.3)	COL8A1 (1.9)	TGFB2 (1.9)	THBS2 (1.9)	LTBP1 (1.8)	ENSG00000229619 (1.8)	SMAD3 (1.8)	EBF2 (1.8)
