p1_category	p1	p2_category	p2	rg	se	z	p	q
Diaphragmatic_hernias	Diaphragmatic	education	Years of schooling	-0.3642	0.0234	-15.5387	1.90E-54	4.6528E-52
Diaphragmatic_hernias	Diaphragmatic	reproductive	Age of first birth	-0.3889	0.0347	-11.2135	3.50E-29	8.57623E-27
Diaphragmatic_hernias	Diaphragmatic	cognitive	Intelligence	-0.3127	0.0348	-8.9812	2.68E-19	6.55988E-17
Diaphragmatic_hernias	Diaphragmatic	education	College completion	-0.382	0.0433	-8.8153	1.19E-18	2.92334E-16
Diaphragmatic_hernias	Diaphragmatic	anthropometric	Waist-to-hip ratio	0.2651	0.0318	8.3418	7.32E-17	1.79311E-14
Diaphragmatic_hernias	Diaphragmatic	cardiometabolic	Coronary artery disease	0.2759	0.0356	7.7559	8.77E-15	2.14973E-12
Diaphragmatic_hernias	Diaphragmatic	psychiatric	Depressive symptoms	0.4061	0.0542	7.4966	6.55E-14	1.6047E-11
Diaphragmatic_hernias	Diaphragmatic	anthropometric	Waist circumference	0.2129	0.0289	7.3602	1.84E-13	4.50016E-11
Diaphragmatic_hernias	Diaphragmatic	anthropometric	Overweight	0.2499	0.0363	6.8809	5.95E-12	1.45702E-09
Diaphragmatic_hernias	Diaphragmatic	sleeping	Insomnia	0.3509	0.055	6.3805	1.77E-10	4.32499E-08
Diaphragmatic_hernias	Diaphragmatic	anthropometric	Body mass index	0.2005	0.0329	6.1037	1.04E-09	2.53943E-07
Diaphragmatic_hernias	Diaphragmatic	anthropometric	Body fat	0.2417	0.0455	5.314	1.07E-07	2.62787E-05
Diaphragmatic_hernias	Diaphragmatic	aging	Mothers age at death	-0.401	0.0842	-4.7617	1.92E-06	0.000470327
Diaphragmatic_hernias	Diaphragmatic	reproductive	Number of children ever born	0.2065	0.0441	4.6836	2.82E-06	0.000690655
Diaphragmatic_hernias	Diaphragmatic	autoimmune	Rheumatoid Arthritis	0.1884	0.0423	4.4499	8.59E-06	0.002105236
Diaphragmatic_hernias	Diaphragmatic	reproductive	Age at Menarche	-0.1251	0.0297	-4.2164	2.48E-05	0.006082125
Diaphragmatic_hernias	Diaphragmatic	anthropometric	Height	-0.1394	0.0342	-4.073	4.64E-05	0.011369715
Diaphragmatic_hernias	Diaphragmatic	smoking_behaviour	Cigarettes smoked per day	0.3405	0.0846	4.0231	5.74E-05	0.014070595
Diaphragmatic_hernias	Diaphragmatic	smoking_behaviour	Smoking Initiation	0.2738	0.0681	4.0215	5.78E-05	0.01416688
Diaphragmatic_hernias	Diaphragmatic	smoking_behaviour	Former vs Current smoker	-0.2983	0.0743	-4.0155	5.93E-05	0.01453291
Diaphragmatic_hernias	Diaphragmatic	smoking_behaviour	Ever vs never smoked	0.194	0.0504	3.8527	0.0001	0.0245
Diaphragmatic_hernias	Diaphragmatic	haemotological	Platelet count	0.1578	0.0419	3.7668	0.0002	0.049
Diaphragmatic_hernias	Diaphragmatic	psychiatric	Subjective well being	-0.1863	0.0505	-3.6863	0.0002	0.049
